"TD","PZ","SZZZ","ZXBZ","CYBZ","SZ50"
"20151026","1.12688986759621","1.09166938556331","1.28454140960477","1.44619394338192","0.977729423335835"
"20151027","1.07357351089218","1.09318298073621","1.29095545371225","1.46706796172057","0.977681410980767"
"20151028","1.10362005747006","1.07435816797402","1.25763785440431","1.42202354556768","0.96137152243267"
"20151029","1.10482024950079","1.07821586055227","1.26542839506917","1.42204700530705","0.959974587568045"
"20151030","1.00762904673443","1.07670255185825","1.26934670470404","1.4180422561403","0.962316458835022"
"20151102","1.03805478441768","1.05840718387137","1.24509958921656","1.39158481983206","0.94863609963271"
"20151103","1.04399660467414","1.05573681886864","1.2424420097501","1.39000100133034","0.945124998543819"
"20151104","1.05230749963472","1.10123736588412","1.30898293447118","1.4787171527887","0.986251657965641"
"20151105","1.11882944749421","1.12134783213484","1.30792703428492","1.46750511393709","1.01543663783706"
"20151106","1.12874755613072","1.14274267863469","1.34580397314806","1.52283004563205","1.03741814184697"
"20151109","1.45877949167519","1.16083817986607","1.36878905589172","1.55899638090606","1.05430975374738"
"20151110","1.49932858822629","1.1588023337205","1.37484684562642","1.57157881185003","1.04956647422893"
"20151111","1.37823790936985","1.16191034293748","1.39287220970031","1.60480466906032","1.04255446531544"
"20151112","1.34643455996438","1.15638836730283","1.38954201286","1.59257184545181","1.03032234014049"
"20151113","1.31283614073904","1.13981626518776","1.3588517081404","1.55072367574063","1.01840000698967"
"20151116","1.33493011055682","1.14813007286431","1.3861452218522","1.60050467049079","1.01820030221988"
"20151117","1.31234562747431","1.14744179147331","1.37544163411992","1.55466662852075","1.02068146756378"
"20151118","1.28816436716831","1.13587839035801","1.34600001074625","1.52268871500708","1.01493579491652"
"20151119","1.25189769493554","1.15134646658558","1.38709154288265","1.5853931652052","1.02701839114509"
"20151120","1.18421730085509","1.15562375520954","1.39707985389663","1.60221437052083","1.02629812260874"
"20151123","1.15579536204054","1.14920026241464","1.38928100931358","1.58529303217131","1.02217238848569"
"20151124","1.10722063356224","1.15104423138198","1.40250247530032","1.61131102750797","1.01845434332911"
"20151125","1.12287879104135","1.16117205506888","1.42536023129831","1.65795642782554","1.02330525539744"
